grund,tvätt
yrkeschaufför,yrkesförare
tranemo,tranemo
elevassistent,elevassistent
avesta,avesta
piteå,piteå
kisa,kisa
trosa,trosa
anderstorp,anderstorp
årjäng,årjäng
svenljunga,svenljunga
fd kommunalråd,kommunalråd
lokförare,lokförare
lekeberg,lekeberg
ramlösa,ramlösa
gamleby,gamleby
drifttekniker,driftstekniker
väktare,väktare
sävsjö,sävsjö
klippan,klippan
maskinoperatör,maskinist
heby,heby
boden,boden
försäljare,försäljare
redaktör,redaktör
limhamn,limhamn
sotenäs,sotenäs
skillingaryd,skillingaryd
ekonomiassistent,ekonom
ljungby,ljungby
platschef,platschef
leg. läkare,läkare
fjärås,fjärås
processoperatör,processtekniker
distriktsläkare,läkare
professor,professor
svedala,svedala
kopparberg,kopparberg
grafisk formgivare,grafiker
söderåkra,söderåkra
kalix,kalix
gagnef,gagnef
regionchef,regionchef
vårdare,vårdare
karlsborg,karlsborg
hagfors,hagfors
fil kand,fil. kand.
tumba,tumba
universitetsadjunkt,universitetsadjunkt
polisinspektör,polis
mentalskötare,mentalskötare
forskare,forskare
gamla stan,gamla stan
vasastan,vasastan
boxholm,boxholm
krokom,krokom
kommunstyrelseordförande,kommunstyrelsens ordförande
vreta kloster,vreta kloster
vaggeryd,vaggeryd
kundansvarig,kundrådgivare
filipstad,filipstad
zero waste-konsult,zero waste-konsult
handen,handen
målilla,målilla
fil.kand,fil. kand.
maskiningenjör,maskintekniker
åkersberga,åkersberga
lärarstudent,studerande
rimforsa,rimforsa
norberg,norberg
åhus,åhus
fastighetsskötare,fastighetsförvaltare
utbildare,utbildare
partisekreterare,partisekreterare
vindeln,vindeln
logistiker,logistiker
verkstadsarbetare,arbetare
arbetssökande,arbetslös
förhandlare,förhandlare
östra göinge,östra göinge
nordmaling,nordmaling
folkhögskollärare,lärare
managementkonsult,managementkonsult
programmerare,programmerare
essunga,essunga
hantverkare,hantverkare
frilansjournalist,journalist
sjukpensionär,sjukpensionär
arbetsterapeut,arbetsterapeut
ljusnarsberg,ljusnarsberg
miljövetare,miljövetare
svetsare,svetsare
rådgivare,rådgivare
statistiker,statistiker
skolledare,skolledare
undervisningsråd,undervisningsråd
gullspång,gullspång
personalchef,personalchef
oppositionslandstingsråd och leg sjuksköterska,oppositionslandstingsråd och leg sjuksköterska
kommunråd,kommunråd
veberöd,veberöd
kungsör,kungsör
färgelanda,färgelanda
eda,eda
timrå,timrå
vikbolandet,vikbolandet
områdeschef,chef
affärsjurist,jurist
privatrådgivare,privatrådgivare
rörum,rörum
norsjö,norsjö
hallstahammar,hallstahammar
yrkeslärare,yrkeslärare
kemist,kemist
tjörnarp,tjörnarp
socialpedagog,socialpedagog
storebro,storebro
fil. kand,fil. kand.
grafiker,grafiker
fysioterapeut,fysioterapeut
universitetsstudent,universitetsstudent
kanslist,kanslisekreterare
europaparlamentariker,europaparlamentariker
sektionschef,chef
servicetekniker,servicepersonal
stocksund,stocksund
bibliotekarie,bibliotekarie
arkeolog,arkeolog
produktionsledare,produktionsansvarig
hyltebruk,hyltebruk
arkivarie,arkivarie
lokalvårdare,lokalvårdare
bankeryd,bankeryd
lindö,lindö
fjugesta,fjugesta
ydre,ydre
övertorneå,övertorneå
jokkmokk,jokkmokk
ambulanssjukvårdare,ambulanssjukvårdare
förskolelärare,förskolelärare
säkerhetskonsult,säkerhetskonsult
utvecklingsledare,utvecklingsledare
borensberg,borensberg
jur. kand,jurist
berga,berga
professor emeritus,professor
brandman,brandman
sätra,sätra
bro,bro
föreläsare,föreläsare
jur. kand.,jurist
skanör,skanör
terapeut,terapeut
seniorkonsult,seniorkonsult
transportledare,transportledare
träslövsläge,träslövsläge
fd regionråd/barnmorska,fd regionråd/barnmorska
bara,bara
dorotea,dorotea
apotekare,apotekare
opinionsstrateg,opinionsstrateg
broakulla,broakulla
administrativ chef,chef
fabriksarbetare,fabriksarbetare
analytiker,analytiker
försäkringstjänsteman,försäkringsrådgivare
frödinge,frödinge
aspudden,aspudden
vårdpolitiker/mekaniker,vårdpolitiker/mekaniker
verksamhetsledare,verksamhetsansvarig
orsa,orsa
miljöchef,miljöchef
enskededalen,enskededalen
skutskär,skutskär
kommun- och landstingspolitiker,kommun- och landstingspolitiker
järnforsen,järnforsen
it tekniker,it tekniker
senior rådgivare,rådgivare
medicinsk chef,medicinsk chef
akalla,akalla
kungsängen,kungsängen
fd. vd,fd. vd
pol. sek.,pol. sek.
årstadal,årstadal
fruängen,fruängen
doktor i historia,doktor i historia
björkhagen,björkhagen
ekonomikonsult,ekonomikonsult
trafikutvecklare,trafikplanerare
företagsläkare,företagsläkare
fil. mag,fil. mag.
ringarum,ringarum
kärrtorp,kärrtorp
österskär,österskär
hedemora,hedemora
alunda,alunda
lektor,lektor
rejmyre,rejmyre
fil. dr,fil. dr.
vaktmästare,vaktmästare
bjurholm,bjurholm
fd lärare,lärare
flen,flen
kommunikationsstrateg,kommunikationsrådgivare
surahammar,surahammar
österbybruk,österbybruk
försäljningschef,försäljningsansvarig
kammaråklagare,åklagare
veterinär,veterinär
account manager,chef
it-utvecklare,it-utvecklare
elingenjör,ingenjör
teologstudent,teologstudent
renägare,renägare
torup,torup
marknadskoordinator,marknadskoordinator
säkerhetschef,chef
matematiker,matematiker
kulturvetare,kulturarbetare
boendehandledare,boendehandledare
informatör,informatör
tågvärd,tågvärd
frösön,frösön
sollefteå,sollefteå
ålem,ålem
fd. riksdagsledamot,riksdagsledamot
hållbarhetschef,chef
kriminolog,kriminolog
förtroendevald politiker,förtroendevald politiker
jukkasjärvi,jukkasjärvi
zoolog,zoolog
innerstaden,innerstaden
skolpräst,skolpräst
utryckningsväktare,utryckningsväktare
miljöminister,miljöminister
kommunikationskonsult,kommunikationsrådgivare
ordförande liberala kvinnor,ordförande
ungdomsförbundsordförande,ungdomsförbundsordförande
bergkvara,bergkvara
butiksmedarbetare,butiksbiträde
rättvik,rättvik
skogskonsulent,skogskonsulent
trädgårdsmästare,trädgårdsmästare
förbundsordförande,förbundsordförande
ingenjör förnybar energi,ingenjör
tobo,tobo
bonde,bonde
chefsekonom,chefsekonom
field service engineer,field service engineer
forskningsingenjör,forskningsingenjör
folkbildare,folkbildare
operasångerska,operasångerska
språkrör gröna studenter,språkrör gröna studenter
vindkraftsamordnare,vindkraftsamordnare
gryt,gryt
torslanda,torslanda
byggnadssnickare,byggarbetare
adjunkt,militär
församlingspedagog,församlingspedagog
människorättsjurist,människorättsjurist
leg. arbetsterapeut,arbetsterapeut
marinbiolog,marinbiolog
nationell utvecklingsledare,nationell utvecklingsledare
kultur- och demokratiminister,kultur- och demokratiminister
allingsås,allingsås
västernorrlands län,västernorrlands län
östergötlands län,östergötlands län
kommunalråd i opposition,kommunalråd i opposition
riksdagsledamot/prof. em.,riksdagsledamot/prof. em.
stockholms stad,stockholms stad
västra götalands västra,västra götalands västra
jönköpings län,jönköpings län
västra götalands södra,västra götalands södra
norrbottens län,norrbottens län
pensionerad lärare,pensionär
skåne läns norra och östra,skåne läns norra och östra
stockholms län,stockholms län
örebro län,örebro län
arbetsmarknadsexpert,arbetsmarknadsexpert
västmanlands län,västmanlands län
sjukgymnast,sjukgymnast
majorna,majorna
västra götalands norra,västra götalands norra
gävleborgs län,gävleborgs län
hallands län,hallands län
klimat- och energirådgivare,klimat- och energirådgivare
västerbottens län,västerbottens län
sjökapten,kapten
bitr. socialchef,bitr. socialchef
konsult i försvarsmakten,konsult i försvarsmakten
fastighetsmäklare,mäklare
omvårdnadslärare/riksdagsledamot,omvårdnadslärare/riksdagsledamot
skåne läns södra,skåne läns södra
statsvetare/historiker,statsvetare/historiker
malmö kommun,malmö kommun
göteborgs kommun,göteborgs kommun
kultur- och mediepolitisk talesperson,kultur- och mediepolitisk talesperson
specialistläkare,specialistläkare
gotlands län,gotlands län
kronobergs län,kronobergs län
verksamhetssamordnare,verksamhetssamordnare
f.d förbundsordförande,f.d förbundsordförande
södermanlands län,södermanlands län
civilingenjör/statsvetare,civilingenjör/statsvetare
västra götalands östra,västra götalands östra
nederländerna,nederländerna
it projektledare,it projektledare
skene,skene
fil.lic. i specialpedagogik,fil.lic. i specialpedagogik
bostads- och digitaliseringsminister,bostads- och digitaliseringsminister
jämtlands län,jämtlands län
finansmarknadsminister,finansmarknadsminister
riksdagsledamot/diplomat,riksdagsledamot/diplomat
värmlands län,värmlands län
dalarnas län,dalarnas län
docent i fysiologi,docent i fysiologi
skåne läns västra,skåne läns västra
redaktör/f.d. riksdagsledamot,redaktör/f.d. riksdagsledamot
uppsala län,uppsala län
blekinge län,blekinge län
kalmar län,kalmar län
livsmedelskonsult,livsmedelskonsult
sjuksköterskestudent,studerande
musikpedagog,musikpedagog
älvdalen,älvdalen
arlöv,arlöv
hr-konsult,hr-konsult
teknikkonsult,teknikkonsult
kolmården,kolmården
bureå,bureå
högdalen,högdalen
hr-chef,chef
kyrkomusiker,kyrkomusiker
teolog,teolog
knäred,knäred
rydaholm,rydaholm
konsulent,konsulent
byxelkrok,byxelkrok
mekaniker,mekaniker
tyringe,tyringe
kyrkvaktmästare,kyrkoarbetare
miljöinspektör,miljöinspektör
förvaltningssekreterare,förvaltningssekreterare
grundskolelärare,lärare
aukt. redovisningskonsult,redovisningskonsult
historiker,historiker
smålandsstenar,smålandsstenar
råå,råå
vintrosa,vintrosa
köpman,köpman
diakon,diakon
kiruna,kiruna
röstånga,röstånga
fliseryd,fliseryd
hammarby sjöstad,hammarby sjöstad
innesäljare,säljare
fil. kand. och kommunpolitiker,fil. kand. och kommunpolitiker
fagersta,fagersta
lantmästare/lärare,lantmästare/lärare
vikingstad,vikingstad
östervåla,östervåla
företagsledare,företagsledare
kulturpolitiker,kulturpolitiker
museichef,museichef
kvalitetsutvecklare,kvalitetsutvecklare
onkologisjuksköterska,onkologisjuksköterska
sankt ibb,sankt ibb
alvesta,alvesta
kommunikationsansvarig,kommunikationschef
regionfullmäktigeledamot,regionfullmäktigeledamot
ljungskile,ljungskile
åkarp,åkarp
holmsund,holmsund
f.d. kommunalråd,kommunalråd
ombudsman/verksamhetsutvecklare,fackombudsman
hult,hult
trädgårdsingenjör/pedagog,trädgårdsingenjör/pedagog
energi- och miljösamordnare,energi- och miljösamordnare
vvs ingenjör,vvs ingenjör
rydöbruk,rydöbruk
dals-ed,dals-ed
hjärup,hjärup
presschef,kommunikatör
örby,örby
leg. sjukgymnast,sjukgymnast
skolkurator,skolkurator
servicehandläggare,handläggare
djursholm,djursholm
miljöingenjör,miljöingenjör
informationssekreterare,informationssekreterare
folkhögskolerektor,folkhögskolerektor
bodafors,bodafors
silverdalen,silverdalen
barkarby,barkarby
skivarp,skivarp
fd vårdadministratör,fd vårdadministratör
skänninge,skänninge
statlig tjänsteman,statlig tjänsteman
pol. mag.,pol. mag.
skogsinventerare,skogsinventerare
verksjurist,verksjurist
sibbarp,sibbarp
kyrkoherde,kyrkoherde
skåne tranås,skåne tranås
leg. barnmorska,barnmorska
kullavik,kullavik
strateg,strateg
sjöofficer,sjöbefäl
vårberg,vårberg
gustavsberg,gustavsberg
dals ed,dals ed
mälarhöjden,mälarhöjden
kulltorp,kulltorp
leg läkare och verksamhetschef,leg läkare och verksamhetschef
utvecklingsstrateg,utvecklingsstrateg
signalingenjör,signalingenjör
duvbo,duvbo
mörlunda,mörlunda
leg. tandhygienist,tandhygienist
reimersholme,reimersholme
bildkonstnär,konstnär
rinkabyholm,rinkabyholm
gröndal,gröndal
produktspecialist,produktspecialist
leg. psykoterapeut,psykoterapeut
universitetslektor i miljövetenskap,universitetslektor i miljövetenskap
stureby,stureby
teaterpedagog,teaterpedagog
fd bankdirektör,bankir
hofors,hofors
vattenekolog,vattenekolog
ankarsrum,ankarsrum
livsmedelsarbetare,arbetare
it-företagare,it-specialist
professor emerita,professor
saltsjö-boo,saltsjö-boo
mångsysslare,mångsysslare
älta,älta
degerhamn,degerhamn
hammarö,hammarö
sjukvårdslandstingsråd,sjukvårdslandstingsråd
tjänstman,tjänstman
vallda,vallda
rinkeby,rinkeby
rimbo,rimbo
vetenskaplig sekreterare,vetenskaplig sekreterare
key account manager,chef
senior konsult,senior konsult
fil. kand.,fil. kand.
rönninge,rönninge
musiker/musiklärare,musiker/musiklärare
blivande pensionär,blivande pensionär
dataanalytiker,dataanalytiker
pol. mag,pol. mag.
vantör,vantör
hjorthagen,hjorthagen
sätila,sätila
it-ansvarig,it-specialist
gränna,gränna
arkitektstudent,arkitektstudent
dataingenjör,ingenjör
ljusdal,ljusdal
förtroendevald kommunal,förtroendevald kommunal
driftchef,chef
åsele,åsele
koordinator,koordinator
reftele,reftele
verktygsmakare,verktygsmakare
tandsköterska,tandsköterska
folkhögskolelärare,lärare
förstelärare,lärare
organisationskonsult,organisationskonsult
miljöstrateg,miljöstrateg
butikssäljare,butiksbiträde
energiingenjör,energiingenjör
controller,controller
olsfors,olsfors
leg. lärare,lärare
butikschef,butikschef
mölnlycke,mölnlycke
översättare,översättare
hunnebostrand,hunnebostrand
åkare,åkare
transporttekniker,transporttekniker
f.d. undersköterska,undersköterska
operatör,operatör
jobbcoach,jobbrådgivare
ovanåker,ovanåker
asarum,asarum
väröbacka,väröbacka
ursviken,ursviken
broby,broby
arbetare,arbetare
harbo,harbo
träningsansvarig,träningsansvarig
fritsla,fritsla
lövånger,lövånger
säljchef,säljansvarig
truckförare,truckförare
kvillsfors,kvillsfors
markaryd,markaryd
universitetslärare,universitetslärare
statsvetarstudent,studerande
vd-assistent,vd-assistent
malå,malå
ekolog,ekolog
askim,askim
myresjö,myresjö
rydsgård,rydsgård
demokratiambassadör,demokratiambassadör
kåge,kåge
sekreterare,sekreterare
vvs-montör,vvs-montör
fastighetschef,chef
forshaga,forshaga
centrum,centrum
samhällsplanerare,samhällsplanerare
särö,särö
lingvist,lingvist
leg psykolog,psykolog
f.d patienttransportör,patienttransportör
affärschef,chef
verksamhetscontroller,verksamhetscontroller
stödpedagog,stödassistent
östra skrukeby,östra skrukeby
filosofie doktor,fil. dr.
säljansvarig,säljansvarig
f.d. riksdagsman,riksdagsledamot
löderup,löderup
pajala,pajala
skribent,skribent
obbola,obbola
ledsagare,ledsagare
degeberga,degeberga
genarp,genarp
kommunalarbetare,arbetare
tärnsjö,tärnsjö
borrby,borrby
mariefred,mariefred
sävar,sävar
destinationsutvecklare,destinationsutvecklare
distriktsombudsman,distriktsombudsman
utbildningschef,chef
oxelösund,oxelösund
vakt,vakt
servitris,servitris
figeholm,figeholm
kommun- och regionpolitiker,kommun- och regionpolitiker
medicinteknisk civilingenjör,medicinteknisk civilingenjör
elektronikingenjör,ingenjör
lundby,lundby
specialistundersköterska,undersköterska
överum,överum
löddeköpinge,löddeköpinge
biträdande rektor,bitr. rektor
byggnadsmålare,målare
modersmålslärare,lärare
receptionist,receptionist
byggprojektledare,byggentreprenör
sorsele,sorsele
lindås,lindås
pensionerad ombudsman,pensionerad ombudsman
produktchef,chef
demokratiutvecklare,demokratiutvecklare
loftahammar,loftahammar
rekryterare,rekryterare
farmaceut,farmaceut
gamlestan,gamlestan
coo,coo
direktör,direktör
projektadministratör,projektadministratör
fd. informatör,fd. informatör
gnesta,gnesta
processledare,processledare
melltorp,melltorp
flygkapten,pilot
läkarsekreterare,sekreterare
droskägare,droskägare
talpedagog,talpedagog
miljösamordnare,miljökommunikatör
nätverkstekniker,nätverkstekniker
smedby,smedby
f d rektor,rektor
knislinge,knislinge
almunge,almunge
bryggmästare,bryggmästare
taxichaufför,taxiförare
fastighetstekniker,fastighetstekniker
upphandlare,upphandlare
besiktningstekniker,besiktningstekniker
socionom/konsthantverkare,socionom/konsthantverkare
pensionerad förskollärare,pensionär
haga,haga
döderhult,döderhult
läckeby,läckeby
biblioteksassistent,bibliotekarie
aktivist,aktivist
kontorist,kontorist
f.d. rektor,rektor
ekonomiedoktor,ekonomiedoktor
fd distriktssköterska,sjuksköterska
vingåker,vingåker
mellbystrand,mellbystrand
marketing officer,marketing officer
byggingenjör,ingenjör
it-chef,chef
ekonomiansvarig,ekonom
behandlingspedagog,behandlare
limmared,limmared
garphyttan,garphyttan
burträsk,burträsk
mentor,mentor
samhällsvägledare,samhällsvägledare
trafikplanerare,trafikplanerare
regionråd och organisationssekreterare,regionråd och organisationssekreterare
civilingenjörsstudent,studerande
nämndsekreterare,sekreterare
högstadielärare,högstadielärare
hälsoekonom,hälsoekonom
träindustriarbetare,arbetare
näringslivsutvecklare,näringslivsutvecklare
fil.mag,fil. mag.
arbetande pensionär,arbetande pensionär
fellingsbro,fellingsbro
handledare,handledare
strömsund,strömsund
projektör,projektör
skogsägare,skogsägare
internrevisor,internrevisor
ryd,ryd
hr-specialist,hr-administratör
f.d. arbetsmiljöingenjör,f.d. arbetsmiljöingenjör
lyckeby,lyckeby
fil. lic,fil. lic
